stockid,year,catch,BdivBmsy,FdivFmsy
BLKMARLINIO,2014,17700,2.37,0.44
BLKMARLINIO,2015,19000,2.38,0.47
BLKMARLINIO,2016,22400,2.32,0.53
BLKMARLINIO,2017,15300,2.16,0.43
BLKMARLINIO,2018,18800,2.05,0.54
BLKMARLINIO,2019,"18,040",1.98,0.53
BLKMARLINIO,2020,"16,977",NA,NA
BLSHARIO,1970,4800,2.54,0.099
BLSHARIO,1971,4800,2.53,0.099
BLSHARIO,1972,4570,2.54,0.094
BLSHARIO,1973,3380,2.54,0.051
BLSHARIO,1974,4370,2.55,0.081
BLSHARIO,1975,5170,2.55,0.077
BLSHARIO,1976,4570,2.57,0.047
BLSHARIO,1977,5170,2.6,0.047
BLSHARIO,1978,5960,2.6,0.06
BLSHARIO,1979,7350,2.59,0.09
BLSHARIO,1980,7550,2.6,0.08
BLSHARIO,1981,9930,2.59,0.099
BLSHARIO,1982,9140,2.59,0.077
BLSHARIO,1983,10300,2.61,0.099
BLSHARIO,1984,10730,2.58,0.099
BLSHARIO,1985,7150,2.59,0.06
BLSHARIO,1986,9140,2.58,0.09
BLSHARIO,1987,9340,2.57,0.07
BLSHARIO,1988,10130,2.55,0.09
BLSHARIO,1989,12900,2.55,0.11
BLSHARIO,1990,8150,2.52,0.069
BLSHARIO,1991,10130,2.5,0.081
BLSHARIO,1992,10130,2.48,0.09
BLSHARIO,1993,12520,2.43,0.12
BLSHARIO,1994,16690,2.38,0.167
BLSHARIO,1995,17280,2.29,0.17
BLSHARIO,1996,18080,2.3,0.18
BLSHARIO,1997,24040,2.3,0.26
BLSHARIO,1998,17880,2.27,0.175
BLSHARIO,1999,23050,2.15,0.235
BLSHARIO,2000,29600,2.16,0.3
BLSHARIO,2001,22050,2.17,0.205
BLSHARIO,2002,25630,2.22,0.257
BLSHARIO,2003,33580,2.3,0.326
BLSHARIO,2004,40530,2.34,0.46
BLSHARIO,2005,43700,2.34,0.497
BLSHARIO,2006,40130,2.29,0.446
BLSHARIO,2007,38940,2.18,0.447
BLSHARIO,2008,42520,2.1,0.523
BLSHARIO,2009,48280,2,0.6
BLSHARIO,2010,46690,1.87,0.6
BLSHARIO,2011,49470,1.82,0.65
BLSHARIO,2012,52850,1.7,0.729
BLSHARIO,2013,56420,1.6,0.83
BLSHARIO,2014,54440,1.5,0.85
BLSHARIO,2015,51060,1.4,0.85
BLSHARIO,2016,55630,1.3,1
BLSHARIO,2017,55230,1.28,0.99
BLSHARIO,2018,38500,1.2,0.74
BLSHARIO,2019,"43,420",1.39,0.64
BLSHARIO,2020,NA,NA,NA
BLSHARNPAC,1971,46000,NA,NA
BLSHARNPAC,1972,42800,1.57,0.563
BLSHARNPAC,1973,45100,1.55,0.62
BLSHARNPAC,1974,43400,1.55,0.64
BLSHARNPAC,1975,61900,1.55,0.676
BLSHARNPAC,1976,74400,1.56,0.851
BLSHARNPAC,1977,88300,1.56,0.964
BLSHARNPAC,1978,85700,1.57,1.07
BLSHARNPAC,1979,92400,1.55,1.1
BLSHARNPAC,1980,106000,1.54,1.15
BLSHARNPAC,1981,115000,1.52,2.19
BLSHARNPAC,1982,99100,1.49,2.04
BLSHARNPAC,1983,87500,1.48,2.09
BLSHARNPAC,1984,82900,1.46,2.07
BLSHARNPAC,1985,77100,1.43,2.11
BLSHARNPAC,1986,71100,1.39,2.21
BLSHARNPAC,1987,63400,1.36,2.14
BLSHARNPAC,1988,70100,1.31,2.21
BLSHARNPAC,1989,78700,1.27,2.93
BLSHARNPAC,1990,66200,1.22,1.69
BLSHARNPAC,1991,60900,1.18,1.66
BLSHARNPAC,1992,53700,1.13,1.16
BLSHARNPAC,1993,53500,1.1,0.807
BLSHARNPAC,1994,50000,1.09,0.653
BLSHARNPAC,1995,54600,1.08,0.612
BLSHARNPAC,1996,50400,1.12,0.53
BLSHARNPAC,1997,52700,1.16,0.566
BLSHARNPAC,1998,51800,1.21,0.546
BLSHARNPAC,1999,50400,1.27,0.49
BLSHARNPAC,2000,56600,1.32,0.588
BLSHARNPAC,2001,51800,1.37,0.526
BLSHARNPAC,2002,44800,1.42,0.485
BLSHARNPAC,2003,44100,1.46,0.486
BLSHARNPAC,2004,50800,1.5,0.542
BLSHARNPAC,2005,52900,1.53,0.599
BLSHARNPAC,2006,49900,1.55,0.537
BLSHARNPAC,2007,49200,1.56,0.532
BLSHARNPAC,2008,45500,1.56,0.471
BLSHARNPAC,2009,45700,1.58,0.502
BLSHARNPAC,2010,"48,900",1.6,0.481
BLSHARNPAC,2011,"41,300",1.62,0.358
BLSHARNPAC,2012,"37,300",1.63,0.36
BLSHARNPAC,2013,NA,1.65,0.36
BLSHARNPAC,2014,NA,1.68,0.38
BLSHARNPAC,2015,NA,1.69,0.28
BLSHARNPAC,2016,NA,NA,NA
BLSHARNPAC,2017,NA,NA,NA
BLSHARNPAC,2018,NA,NA,NA
BLSHARNPAC,2019,NA,NA,NA
BLSHARNPAC,2020,NA,NA,NA
BMARLINIO,1950,1,2,4.86E-05
BMARLINIO,1951,6,2,2.80E-04
BMARLINIO,1952,396,2,0.0197
